Dataset using: ../Dataset/input.pkl
start training model with fold  0
Train Epoch:60  |Loss: 0.682 | Train Acc: 0.742
Eval Epoch: 60 | Loss: 1.050 | Eval Acc: 0.425
Test Epoch: 60 | Loss: 1.175 | Test Acc: 0.625
saving last....
Train Epoch:61  |Loss: 0.693 | Train Acc: 0.650
Eval Epoch: 61 | Loss: 1.176 | Eval Acc: 0.600
Test Epoch: 61 | Loss: 1.157 | Test Acc: 0.575
Train Epoch:62  |Loss: 0.608 | Train Acc: 0.750
Eval Epoch: 62 | Loss: 1.060 | Eval Acc: 0.625
Test Epoch: 62 | Loss: 1.041 | Test Acc: 0.525
Train Epoch:63  |Loss: 0.656 | Train Acc: 0.700
Eval Epoch: 63 | Loss: 1.017 | Eval Acc: 0.575
Test Epoch: 63 | Loss: 1.106 | Test Acc: 0.575
Train Epoch:64  |Loss: 0.580 | Train Acc: 0.800
Eval Epoch: 64 | Loss: 0.959 | Eval Acc: 0.625
Test Epoch: 64 | Loss: 0.992 | Test Acc: 0.500
Train Epoch:65  |Loss: 0.549 | Train Acc: 0.783
Eval Epoch: 65 | Loss: 0.998 | Eval Acc: 0.650
Test Epoch: 65 | Loss: 1.041 | Test Acc: 0.525
Train Epoch:66  |Loss: 0.533 | Train Acc: 0.792
Eval Epoch: 66 | Loss: 1.047 | Eval Acc: 0.650
Test Epoch: 66 | Loss: 1.056 | Test Acc: 0.525
Train Epoch:67  |Loss: 0.581 | Train Acc: 0.767
Eval Epoch: 67 | Loss: 1.122 | Eval Acc: 0.650
Test Epoch: 67 | Loss: 1.101 | Test Acc: 0.575
Train Epoch:68  |Loss: 0.571 | Train Acc: 0.792
Eval Epoch: 68 | Loss: 1.044 | Eval Acc: 0.675
Test Epoch: 68 | Loss: 1.063 | Test Acc: 0.500
saving best....
Train Epoch:69  |Loss: 0.485 | Train Acc: 0.850
Eval Epoch: 69 | Loss: 0.978 | Eval Acc: 0.525
Test Epoch: 69 | Loss: 1.041 | Test Acc: 0.575
Train Epoch:70  |Loss: 0.481 | Train Acc: 0.850
Eval Epoch: 70 | Loss: 0.980 | Eval Acc: 0.550
Test Epoch: 70 | Loss: 1.049 | Test Acc: 0.550
saving last....
Train Epoch:71  |Loss: 0.541 | Train Acc: 0.725
Eval Epoch: 71 | Loss: 1.141 | Eval Acc: 0.550
Test Epoch: 71 | Loss: 1.225 | Test Acc: 0.600
Train Epoch:72  |Loss: 0.695 | Train Acc: 0.700
Eval Epoch: 72 | Loss: 1.196 | Eval Acc: 0.575
Test Epoch: 72 | Loss: 1.178 | Test Acc: 0.500
Train Epoch:73  |Loss: 0.500 | Train Acc: 0.808
Eval Epoch: 73 | Loss: 1.186 | Eval Acc: 0.625
Test Epoch: 73 | Loss: 1.218 | Test Acc: 0.600
Train Epoch:74  |Loss: 0.472 | Train Acc: 0.850
Eval Epoch: 74 | Loss: 0.974 | Eval Acc: 0.500
Test Epoch: 74 | Loss: 1.087 | Test Acc: 0.575
Train Epoch:75  |Loss: 0.501 | Train Acc: 0.792
Eval Epoch: 75 | Loss: 1.243 | Eval Acc: 0.625
Test Epoch: 75 | Loss: 1.278 | Test Acc: 0.600
Train Epoch:76  |Loss: 0.612 | Train Acc: 0.767
Eval Epoch: 76 | Loss: 1.103 | Eval Acc: 0.625
Test Epoch: 76 | Loss: 1.118 | Test Acc: 0.550
Train Epoch:77  |Loss: 0.726 | Train Acc: 0.742
Eval Epoch: 77 | Loss: 1.473 | Eval Acc: 0.575
Test Epoch: 77 | Loss: 1.436 | Test Acc: 0.550
Train Epoch:78  |Loss: 0.482 | Train Acc: 0.783
Eval Epoch: 78 | Loss: 0.991 | Eval Acc: 0.575
Test Epoch: 78 | Loss: 1.057 | Test Acc: 0.550
Train Epoch:79  |Loss: 0.480 | Train Acc: 0.825
Eval Epoch: 79 | Loss: 1.015 | Eval Acc: 0.475
Test Epoch: 79 | Loss: 1.128 | Test Acc: 0.600
Train Epoch:80  |Loss: 0.461 | Train Acc: 0.875
Eval Epoch: 80 | Loss: 1.041 | Eval Acc: 0.625
Test Epoch: 80 | Loss: 1.085 | Test Acc: 0.525
saving last....
Train Epoch:81  |Loss: 0.447 | Train Acc: 0.867
Eval Epoch: 81 | Loss: 1.153 | Eval Acc: 0.600
Test Epoch: 81 | Loss: 1.179 | Test Acc: 0.525
Train Epoch:82  |Loss: 0.418 | Train Acc: 0.892
Eval Epoch: 82 | Loss: 1.059 | Eval Acc: 0.525
Test Epoch: 82 | Loss: 1.126 | Test Acc: 0.575
Train Epoch:83  |Loss: 0.401 | Train Acc: 0.900
Eval Epoch: 83 | Loss: 1.259 | Eval Acc: 0.600
Test Epoch: 83 | Loss: 1.255 | Test Acc: 0.575
Train Epoch:84  |Loss: 0.405 | Train Acc: 0.858
