Dataset using: ../Dataset/ablation_test.pkl
(200, 2)
start training model with fold  0
Eval Epoch: 62 | Loss: 0.934 | Eval Acc: 0.575
Test Epoch: 62 | Loss: 0.981 | Test Acc: 0.500
Train Epoch:63  |Loss: 0.859 | Train Acc: 0.617
Eval Epoch: 63 | Loss: 0.927 | Eval Acc: 0.550
Test Epoch: 63 | Loss: 0.977 | Test Acc: 0.500
Train Epoch:64  |Loss: 0.851 | Train Acc: 0.633
Eval Epoch: 64 | Loss: 0.936 | Eval Acc: 0.575
Test Epoch: 64 | Loss: 0.988 | Test Acc: 0.525
Train Epoch:65  |Loss: 0.853 | Train Acc: 0.625
Eval Epoch: 65 | Loss: 0.933 | Eval Acc: 0.575
Test Epoch: 65 | Loss: 0.985 | Test Acc: 0.500
Train Epoch:66  |Loss: 0.856 | Train Acc: 0.600
Eval Epoch: 66 | Loss: 0.914 | Eval Acc: 0.550
Test Epoch: 66 | Loss: 0.973 | Test Acc: 0.475
Train Epoch:67  |Loss: 0.839 | Train Acc: 0.617
Eval Epoch: 67 | Loss: 0.920 | Eval Acc: 0.575
Test Epoch: 67 | Loss: 0.978 | Test Acc: 0.500
Train Epoch:68  |Loss: 0.849 | Train Acc: 0.617
Eval Epoch: 68 | Loss: 0.942 | Eval Acc: 0.525
Test Epoch: 68 | Loss: 1.000 | Test Acc: 0.525
Train Epoch:69  |Loss: 0.833 | Train Acc: 0.650
Eval Epoch: 69 | Loss: 0.908 | Eval Acc: 0.550
Test Epoch: 69 | Loss: 0.972 | Test Acc: 0.475
Train Epoch:70  |Loss: 0.839 | Train Acc: 0.600
Eval Epoch: 70 | Loss: 0.907 | Eval Acc: 0.550
Test Epoch: 70 | Loss: 0.975 | Test Acc: 0.475
saving last....
Train Epoch:71  |Loss: 0.826 | Train Acc: 0.617
Eval Epoch: 71 | Loss: 0.913 | Eval Acc: 0.575
Test Epoch: 71 | Loss: 0.981 | Test Acc: 0.525
Train Epoch:72  |Loss: 0.823 | Train Acc: 0.633
Eval Epoch: 72 | Loss: 0.904 | Eval Acc: 0.550
Test Epoch: 72 | Loss: 0.973 | Test Acc: 0.500
Train Epoch:73  |Loss: 0.821 | Train Acc: 0.633
Eval Epoch: 73 | Loss: 0.893 | Eval Acc: 0.575
Test Epoch: 73 | Loss: 0.967 | Test Acc: 0.450
Train Epoch:74  |Loss: 0.827 | Train Acc: 0.642
Eval Epoch: 74 | Loss: 0.904 | Eval Acc: 0.550
Test Epoch: 74 | Loss: 0.979 | Test Acc: 0.550
Train Epoch:75  |Loss: 0.820 | Train Acc: 0.650
Eval Epoch: 75 | Loss: 0.888 | Eval Acc: 0.575
Test Epoch: 75 | Loss: 0.967 | Test Acc: 0.475
Train Epoch:76  |Loss: 0.810 | Train Acc: 0.625
Eval Epoch: 76 | Loss: 0.898 | Eval Acc: 0.575
Test Epoch: 76 | Loss: 0.976 | Test Acc: 0.500
Train Epoch:77  |Loss: 0.808 | Train Acc: 0.642
Eval Epoch: 77 | Loss: 0.893 | Eval Acc: 0.550
Test Epoch: 77 | Loss: 0.974 | Test Acc: 0.500
Train Epoch:78  |Loss: 0.801 | Train Acc: 0.650
Eval Epoch: 78 | Loss: 0.879 | Eval Acc: 0.600
Test Epoch: 78 | Loss: 0.966 | Test Acc: 0.450
Train Epoch:79  |Loss: 0.801 | Train Acc: 0.650
Eval Epoch: 79 | Loss: 0.880 | Eval Acc: 0.575
Test Epoch: 79 | Loss: 0.968 | Test Acc: 0.450
Train Epoch:80  |Loss: 0.794 | Train Acc: 0.667
Eval Epoch: 80 | Loss: 0.872 | Eval Acc: 0.575
Test Epoch: 80 | Loss: 0.964 | Test Acc: 0.450
saving last....
Train Epoch:81  |Loss: 0.795 | Train Acc: 0.658
Eval Epoch: 81 | Loss: 0.878 | Eval Acc: 0.575
Test Epoch: 81 | Loss: 0.972 | Test Acc: 0.500
Train Epoch:82  |Loss: 0.789 | Train Acc: 0.667
Eval Epoch: 82 | Loss: 0.867 | Eval Acc: 0.600
Test Epoch: 82 | Loss: 0.964 | Test Acc: 0.450
Train Epoch:83  |Loss: 0.784 | Train Acc: 0.658
Eval Epoch: 83 | Loss: 0.871 | Eval Acc: 0.575
Test Epoch: 83 | Loss: 0.968 | Test Acc: 0.475
Train Epoch:84  |Loss: 0.781 | Train Acc: 0.667
Eval Epoch: 84 | Loss: 0.863 | Eval Acc: 0.575
Test Epoch: 84 | Loss: 0.965 | Test Acc: 0.500
Train Epoch:85  |Loss: 0.780 | Train Acc: 0.675
Eval Epoch: 85 | Loss: 0.859 | Eval Acc: 0.600
Test Epoch: 85 | Loss: 0.964 | Test Acc: 0.450
Train Epoch:86  |Loss: 0.773 | Train Acc: 0.667
Eval Epoch: 86 | Loss: 0.861 | Eval Acc: 0.575
Test Epoch: 86 | Loss: 0.968 | Test Acc: 0.475
Train Epoch:87  |Loss: 0.771 | Train Acc: 0.683
Eval Epoch: 87 | Loss: 0.859 | Eval Acc: 0.600
Test Epoch: 87 | Loss: 0.970 | Test Acc: 0.475
Train Epoch:88  |Loss: 0.775 | Train Acc: 0.675
Eval Epoch: 88 | Loss: 0.853 | Eval Acc: 0.575
Test Epoch: 88 | Loss: 0.964 | Test Acc: 0.525
Train Epoch:89  |Loss: 0.765 | Train Acc: 0.675
Eval Epoch: 89 | Loss: 0.857 | Eval Acc: 0.575
Test Epoch: 89 | Loss: 0.974 | Test Acc: 0.475
Train Epoch:90  |Loss: 0.766 | Train Acc: 0.658
Eval Epoch: 90 | Loss: 0.854 | Eval Acc: 0.575
Test Epoch: 90 | Loss: 0.976 | Test Acc: 0.500
saving last....
Train Epoch:91  |Loss: 0.762 | Train Acc: 0.675
Eval Epoch: 91 | Loss: 0.840 | Eval Acc: 0.575
Test Epoch: 91 | Loss: 0.960 | Test Acc: 0.500
Train Epoch:92  |Loss: 0.756 | Train Acc: 0.675
Eval Epoch: 92 | Loss: 0.833 | Eval Acc: 0.550
Test Epoch: 92 | Loss: 0.959 | Test Acc: 0.425
Train Epoch:93  |Loss: 0.751 | Train Acc: 0.667
Eval Epoch: 93 | Loss: 0.842 | Eval Acc: 0.575
Test Epoch: 93 | Loss: 0.968 | Test Acc: 0.525
Train Epoch:94  |Loss: 0.749 | Train Acc: 0.683
Eval Epoch: 94 | Loss: 0.841 | Eval Acc: 0.600
Test Epoch: 94 | Loss: 0.971 | Test Acc: 0.475
Train Epoch:95  |Loss: 0.745 | Train Acc: 0.667
Eval Epoch: 95 | Loss: 0.834 | Eval Acc: 0.575
Test Epoch: 95 | Loss: 0.968 | Test Acc: 0.475
Train Epoch:96  |Loss: 0.744 | Train Acc: 0.683
Eval Epoch: 96 | Loss: 0.830 | Eval Acc: 0.575
Test Epoch: 96 | Loss: 0.964 | Test Acc: 0.450
Train Epoch:97  |Loss: 0.738 | Train Acc: 0.675
Eval Epoch: 97 | Loss: 0.827 | Eval Acc: 0.575
Test Epoch: 97 | Loss: 0.966 | Test Acc: 0.475
Train Epoch:98  |Loss: 0.734 | Train Acc: 0.692
Eval Epoch: 98 | Loss: 0.827 | Eval Acc: 0.575
Test Epoch: 98 | Loss: 0.966 | Test Acc: 0.525
Train Epoch:99  |Loss: 0.735 | Train Acc: 0.683
Eval Epoch: 99 | Loss: 0.828 | Eval Acc: 0.575
Test Epoch: 99 | Loss: 0.972 | Test Acc: 0.475
Train Epoch:100  |Loss: 0.728 | Train Acc: 0.692
Eval Epoch: 100 | Loss: 0.818 | Eval Acc: 0.575
Test Epoch: 100 | Loss: 0.966 | Test Acc: 0.450
saving last....
Train Epoch:101  |Loss: 0.729 | Train Acc: 0.675
Eval Epoch: 101 | Loss: 0.818 | Eval Acc: 0.600
Test Epoch: 101 | Loss: 0.965 | Test Acc: 0.500
Train Epoch:102  |Loss: 0.721 | Train Acc: 0.700
Eval Epoch: 102 | Loss: 0.818 | Eval Acc: 0.575
Test Epoch: 102 | Loss: 0.973 | Test Acc: 0.475
Train Epoch:103  |Loss: 0.718 | Train Acc: 0.683
Eval Epoch: 103 | Loss: 0.809 | Eval Acc: 0.550
Test Epoch: 103 | Loss: 0.966 | Test Acc: 0.450
Train Epoch:104  |Loss: 0.720 | Train Acc: 0.692
Eval Epoch: 104 | Loss: 0.819 | Eval Acc: 0.600
Test Epoch: 104 | Loss: 0.976 | Test Acc: 0.475
Train Epoch:105  |Loss: 0.714 | Train Acc: 0.683
Eval Epoch: 105 | Loss: 0.808 | Eval Acc: 0.575
Test Epoch: 105 | Loss: 0.971 | Test Acc: 0.450
Train Epoch:106  |Loss: 0.709 | Train Acc: 0.692
Eval Epoch: 106 | Loss: 0.815 | Eval Acc: 0.600
Test Epoch: 106 | Loss: 0.977 | Test Acc: 0.450
Train Epoch:107  |Loss: 0.708 | Train Acc: 0.700
Eval Epoch: 107 | Loss: 0.802 | Eval Acc: 0.525
Test Epoch: 107 | Loss: 0.969 | Test Acc: 0.450
Train Epoch:108  |Loss: 0.706 | Train Acc: 0.717
Eval Epoch: 108 | Loss: 0.797 | Eval Acc: 0.525
Test Epoch: 108 | Loss: 0.965 | Test Acc: 0.450
